Seed,Case_id,start_state,solution,moves,nodes,time(sec)
97,1,"[0, 1, [[7, 0, 3], [4, 8, 6], [1, 2, 5]]]",1,21,[1090243],3.542250871658325
97,2,"[1, 2, [[2, 1, 7], [5, 3, 0], [6, 4, 8]]]",0,30,[221230850],715.1047222614288
97,3,"[0, 0, [[0, 8, 4], [1, 2, 7], [6, 5, 3]]]",0,30,[154866570],497.6049599647522
97,4,"[0, 1, [[5, 0, 8], [2, 3, 4], [1, 7, 6]]]",0,30,[221230850],714.9736349582672
97,5,"[2, 1, [[1, 5, 3], [8, 6, 2], [4, 0, 7]]]",0,30,[221230850],712.9818658828735
97,6,"[1, 2, [[4, 5, 6], [8, 3, 0], [2, 7, 1]]]",1,21,[1324774],4.279350996017456
97,7,"[2, 2, [[1, 2, 3], [7, 4, 8], [6, 5, 0]]]",0,30,[154866570],497.1300401687622
97,8,"[1, 2, [[7, 1, 3], [2, 4, 0], [5, 6, 8]]]",1,17,[123098],0.400728702545166
97,9,"[2, 2, [[7, 2, 6], [4, 8, 5], [3, 1, 0]]]",1,26,[10995156],35.46028208732605
97,10,"[0, 2, [[2, 7, 0], [6, 3, 1], [4, 5, 8]]]",1,22,[1369408],4.476354122161865
